time,stat_count,prcp_mean,prcp_std,prcp_min,prcp_25%,prcp_50%,prcp_75%,prcp_max,tmin_mean,tmin_std,tmin_min,tmin_25%,tmin_50%,tmin_75%,tmin_max,tmax_mean,tmax_std,tmax_min,tmax_25%,tmax_50%,tmax_75%,tmax_max,srad_mean,srad_std,srad_min,srad_25%,srad_50%,srad_75%,srad_max,swe_mean,swe_std,swe_min,swe_25%,swe_50%,swe_75%,swe_max,vp_mean,vp_std,vp_min,vp_25%,vp_50%,vp_75%,vp_max,id,year,state,stage,commodity,plan,colc,month,quantity,cpi_indemnity,per_indemnity
21.0,1027.0,0.6951509250243427,0.887058487277197,0.0,0.0,0.0,1.59,2.87,-12.123203505355404,0.4473917921243242,-13.12,-12.45,-12.1,-11.75,-10.91,0.5410126582278479,0.40179585512588206,-0.45,0.275,0.58,0.85,1.81,225.25567672833498,18.123499800915795,177.46,223.54,226.54,239.79500000000002,247.05,0.6951509250243427,0.887058487277197,0.0,0.0,0.0,1.59,2.87,241.40414800389485,8.687528620817758,222.6,234.97,241.8,248.61,265.84,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
22.0,1027.0,0.019444985394352483,0.11658219014138808,0.0,0.0,0.0,0.0,0.85,-5.2718013631937675,0.6378473845999721,-6.59,-5.75,-5.28,-4.785,-3.39,3.479016553067186,0.3678234102517644,2.64,3.18,3.51,3.81,4.12,185.55425511197663,13.490756112700256,151.71,177.62,185.88,195.76,210.54,0.6020058422590068,0.8170383853667554,0.0,0.0,0.0,1.295,2.87,413.08283349561833,20.030317276308892,373.2,398.0,412.3,428.185,475.55,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
23.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6706718597857835,0.39916364368674007,-6.38,-5.93,-5.76,-5.44,-4.11,3.594858812074002,0.18058777362867773,3.08,3.48,3.63,3.73,4.0,192.5124634858812,11.9449117711128,162.85,185.72,190.94,203.68,211.71,0.5290944498539435,0.7531419941752142,0.0,0.0,0.0,1.07,2.78,400.4678967867576,12.31088906331698,379.29,392.365,397.66,407.525,450.46,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
24.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.219084712755599,0.09706682466364594,-9.54,-9.27,-9.22,-9.17,-8.43,2.5026192794547226,0.17006722136815736,1.87,2.43,2.52,2.6,3.24,215.30076923076922,11.739707436484824,196.83,205.83,207.5,229.62,231.79,0.5290944498539435,0.7531419941752142,0.0,0.0,0.0,1.07,2.78,304.09140214216166,2.332000492536049,296.49,302.9,303.95,305.28999999999996,323.38,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
25.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.320009737098346,0.39507950676949766,-9.18,-8.67,-8.32,-7.93,-7.3,4.173505355404089,0.10356877874319091,3.8,4.11,4.17,4.22,5.01,216.30569620253166,9.774062573877131,197.41,209.21,211.15,227.065,232.61,0.5290944498539435,0.7531419941752142,0.0,0.0,0.0,1.07,2.78,326.41558909444984,10.064314358534581,304.96,317.565,326.37,336.305,353.12,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
26.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.391752677702045,0.322123566032517,-7.18,-6.67,-6.33,-6.09,-5.5,6.101626095423564,0.18334232944606227,5.56,5.97,6.12,6.25,6.99,214.09287244401168,10.424167751910511,196.35,206.005,206.84,226.64499999999998,229.21,0.5283836416747809,0.7523161875487807,0.0,0.0,0.0,1.07,2.77,378.90701071080815,9.341395897442233,356.47,370.79,380.51,387.56,405.4,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
27.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.310535540408958,0.2161726384237712,-5.83,-5.45,-5.32,-5.16,-4.22,7.355842259006817,0.2827699015079059,6.5,7.16,7.39,7.58,7.92,214.37444985394353,12.462817992883865,193.53,204.10000000000002,207.24,229.725,232.52,0.40787731256085685,0.6272965390436036,0.0,0.0,0.0,0.77,2.51,411.47999999999996,6.775882167090878,395.52,406.95,411.08,416.185,446.7,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
28.0,1027.0,1.5044109055501462,0.267726910187336,1.05,1.27,1.5,1.7,2.09,-6.334313534566699,0.14045245406782256,-6.87,-6.405,-6.29,-6.25,-5.54,4.464780915287244,0.35778398759540453,3.47,4.28,4.54,4.73,5.12,214.4354040895813,10.535240847494665,163.72,213.845,217.52,219.36,221.16,1.9031158714703018,0.5744730861551843,0.0,1.55,1.79,2.19,3.67,380.497964946446,4.086900202100356,364.99,378.42,381.88,382.96,404.22,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
29.0,1027.0,1.0572249269717624,0.36378290636694993,0.0,1.13,1.16,1.22,1.35,-5.486027263875365,0.2588051553152485,-6.18,-5.64,-5.43,-5.3,-5.02,-1.6507497565725413,0.1922548125554221,-2.05,-1.8,-1.67,-1.48,-1.21,100.68241480038948,6.273677863035163,86.53,96.10499999999999,101.07,105.555,115.33,1.7567380720545278,0.5317159068486564,0.0,1.4,1.56,2.14,3.42,406.04107108081786,7.952266734717141,385.09,401.24,407.63,411.835,420.66,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
30.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.994868549172348,0.11906579689561626,-8.26,-8.08,-7.98,-7.91,-7.34,-3.033563777994158,0.24944960186753737,-3.45,-3.22,-3.1,-2.86,-2.02,130.59935735150927,4.939028913070288,117.78,126.67500000000001,129.59,133.935,147.07,1.7567380720545278,0.5317159068486564,0.0,1.4,1.56,2.14,3.42,334.66693281402144,3.1067243359799663,327.94,332.47,335.07,336.85,352.06,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
